intern_id,department,duration_weeks,academic_background,enrollment_date,completion_status,completion_date,dropout_week,dropout_reason,mentor_interaction,weekly_hours,final_project_score,mentor_feedback_score,age,gpa,program_year,program_month,completion_numeric
INT_0001,Research,8,Computer Science,5/21/2023,Completed,7/16/2023,,,Medium,29.4,88.2,8.9,20,3.6,2023,5,1
INT_0002,Research,8,Other,10/7/2023,Dropped Out,,4,Academic,Low,21.2,73.1,5.1,18,3.01,2023,10,0
INT_0003,Engineering,12,Business,9/16/2023,Completed,12/9/2023,,,High,21.9,94.5,9.7,26,2.59,2023,9,1
INT_0004,Data Science,24,Business,8/18/2023,Completed,2/2/2024,,,Medium,30.5,70.9,10,30,3.11,2023,8,1
INT_0005,Engineering,12,Other,8/5/2023,Completed,10/28/2023,,,Medium,47.8,88.9,8.7,20,2.99,2023,8,1
INT_0006,Data Science,16,Computer Science,2/17/2023,Completed,6/9/2023,,,Low,32,82.1,7.6,23,3.94,2023,2,1
INT_0007,Marketing,16,Computer Science,8/24/2023,Completed,12/14/2023,,,Medium,32.3,84.9,8.2,24,3.36,2023,8,1
INT_0008,Engineering,16,Other,11/13/2023,Completed,3/4/2024,,,High,36,65.4,6.5,23,3.28,2023,11,1
INT_0009,Business,12,Other,2/5/2023,Dropped Out,,4,Job Offer,Low,26.7,78.2,4,19,2.57,2023,2,0
INT_0010,Data Science,8,Arts,5/23/2023,Completed,7/18/2023,,,Medium,32.7,95.6,9,23,2.49,2023,5,1
INT_0011,Data Science,16,Engineering,4/18/2023,Completed,8/8/2023,,,Medium,37.9,93.9,9.8,29,3.5,2023,4,1
INT_0012,Research,8,Science,11/22/2023,Completed,1/17/2024,,,Low,30.8,81.9,9,29,3.59,2023,11,1
INT_0013,Data Science,12,Arts,7/14/2023,Completed,10/6/2023,,,Low,34.1,80.9,10,28,2.84,2023,7,1
INT_0014,Research,12,Other,6/16/2023,Completed,9/8/2023,,,High,34.6,95,9,30,2.94,2023,6,1
INT_0015,Engineering,12,Computer Science,6/11/2023,Completed,9/3/2023,,,Medium,42.5,88.4,10,19,2.83,2023,6,1
INT_0016,Data Science,16,Business,12/2/2023,Completed,3/23/2024,,,Medium,35.4,82,8.6,28,2.4,2023,12,1
INT_0017,Design,12,Engineering,3/13/2023,Dropped Out,,9,Health,Low,20.7,42.6,4.4,22,3.5,2023,3,0
INT_0018,Research,24,Science,7/24/2023,Completed,1/8/2024,,,Medium,31,80,9.9,20,3.33,2023,7,1
INT_0019,Business,24,Computer Science,1/25/2023,Dropped Out,,5,Personal,High,36,67.6,5.4,30,3.47,2023,1,0
INT_0020,Research,24,Science,2/2/2023,Completed,7/20/2023,,,Medium,33,70.4,8.9,27,3.3,2023,2,1
INT_0021,Design,16,Science,1/6/2023,Completed,4/28/2023,,,Medium,21.7,88.5,7.9,19,3.08,2023,1,1
