university,gpa,country,timezone,submission_duration_min,position_applied,years_experience,technical_skills_count,soft_skills_count,resume_file_size_kb,device_type,referral_source,is_fraudulent,email_username_length,has_suspicious_domain,name_length_ratio,suspicious_ip,submission_speed,application_hour,is_night_hour,application_dayofweek,application_month
Community College,3.88,India,EST,66,Research Assistant,0,5,2,63,Windows Firefox,Company Website,False,17,0,0.65,0,13.2,16,0,1,3
Liberal Arts College,3.82,UK,,8,Research Assistant,5,9,7,91,Windows Chrome,Unknown,True,11,1,0.5,0,0.8888888888888888,16,0,5,4
Community College,3.41,Germany,CET,20,Software Developer Intern,2,2,3,468,Mac Safari,Company Website,False,17,0,0.65,0,10.0,9,0,4,1
International University,3.38,Canada,CET,45,Software Developer Intern,1,3,4,372,Mobile iOS,LinkedIn,False,17,0,0.65,0,15.0,15,0,0,3
Community College,3.55,China,GMT,110,Marketing Intern,2,2,3,301,Windows Chrome,Company Website,False,13,0,0.45,0,55.0,10,0,5,3
Online University,3.33,China,EST,21,Software Developer Intern,2,4,3,260,Mobile iOS,Company Website,False,13,0,0.45,0,5.25,10,0,6,3
State University,3.46,USA,CST,40,Data Science Intern,0,3,4,68,Mobile iOS,Company Website,False,15,0,0.55,0,13.333333333333334,13,0,5,2
Liberal Arts College,3.67,UK,EST,83,Research Assistant,1,3,4,323,Mobile iOS,LinkedIn,False,15,0,0.55,0,27.666666666666668,11,0,4,2
State University,3.38,Australia,EST,83,Marketing Intern,2,5,2,247,Windows Firefox,Job Portal,False,14,0,0.5,0,16.6,11,0,0,5
Tech Institute,3.4,Germany,GMT,42,Marketing Intern,1,2,3,64,Mobile iOS,University,False,13,0,0.5,0,21.0,16,0,5,6
State University,3.24,USA,PST,41,Business Analyst Intern,1,4,4,255,Windows Chrome,Job Portal,False,14,0,0.5,0,10.25,11,0,4,5
Community College,3.21,UK,GMT,40,Research Assistant,1,4,4,169,Windows Firefox,LinkedIn,False,14,0,0.5,0,10.0,14,0,1,5
International University,3.01,China,GMT,88,Marketing Intern,0,4,4,324,Windows Firefox,LinkedIn,False,13,0,0.45,0,22.0,16,0,4,2
State University,3.26,Brazil,PST,100,Software Developer Intern,0,5,2,436,Mobile iOS,LinkedIn,False,15,0,0.55,0,20.0,17,0,3,5
No University,2.27,UK,UTC,8,Business Analyst Intern,8,6,7,10,Windows Chrome,Unknown,True,8,0,0.6,0,1.3333333333333333,11,0,2,3
Tech Institute,3.88,China,,3,Research Assistant,8,6,5,31,Automated Script,Direct,True,6,1,0.7,1,0.5,0,1,2,6
