task_id,intern_id,year,month,task_type,task_complexity,expected_hours,actual_hours,completion_status,quality_score,days_to_complete,department
INT_0001_M1_T01,INT_0001,2024,1,Report Writing,2,6,7.5,Completed On Time,7.6,6,Data Science
INT_0001_M1_T02,INT_0001,2024,1,Documentation,1,3,3.0,Extended,7.6,6,Data Science
INT_0001_M1_T03,INT_0001,2024,1,Data Analysis,3,8,5.7,Completed Late,6.3,5,Data Science
INT_0001_M1_T04,INT_0001,2024,1,Code Development,4,12,10.8,Completed On Time,8.3,5,Data Science
INT_0001_M1_T05,INT_0001,2024,1,Testing,2,4,3.3,Completed Early,9.5,5,Data Science
INT_0001_M1_T06,INT_0001,2024,1,Documentation,1,3,3.3,Completed On Time,6.6,5,Data Science
INT_0001_M1_T07,INT_0001,2024,1,Documentation,1,3,3.4,Completed On Time,6.9,6,Data Science
INT_0001_M1_T08,INT_0001,2024,1,Presentation,2,5,4.9,Completed On Time,7.7,5,Data Science
INT_0001_M2_T01,INT_0001,2024,2,Testing,2,4,4.2,Completed Late,5.2,2,Data Science
INT_0001_M2_T02,INT_0001,2024,2,Documentation,1,3,3.0,Completed Late,7.8,3,Data Science
INT_0001_M2_T03,INT_0001,2024,2,Documentation,1,3,2.2,Completed On Time,7.0,2,Data Science
INT_0001_M2_T04,INT_0001,2024,2,Testing,2,4,3.9,Completed Late,7.3,4,Data Science
INT_0001_M2_T05,INT_0001,2024,2,Report Writing,2,6,7.7,Completed Early,5.9,2,Data Science
INT_0001_M2_T06,INT_0001,2024,2,Testing,2,4,4.7,Completed Early,7.7,2,Data Science
INT_0001_M2_T07,INT_0001,2024,2,Documentation,1,3,3.2,Completed Early,5.6,1,Data Science
INT_0001_M2_T08,INT_0001,2024,2,Research,3,10,12.6,Completed Early,8.1,2,Data Science
INT_0001_M3_T01,INT_0001,2024,3,Testing,2,4,2.8,Completed Early,7.1,1,Data Science
INT_0001_M3_T02,INT_0001,2024,3,Report Writing,2,6,8.4,Completed Early,6.8,1,Data Science
INT_0001_M3_T03,INT_0001,2024,3,Data Analysis,3,8,8.0,Extended,8.2,1,Data Science
INT_0001_M3_T04,INT_0001,2024,3,Report Writing,2,6,6.0,Completed On Time,7.8,1,Data Science
INT_0001_M3_T05,INT_0001,2024,3,Presentation,2,5,6.5,Completed On Time,6.6,1,Data Science
INT_0001_M3_T06,INT_0001,2024,3,Documentation,1,3,3.1,Completed On Time,5.9,1,Data Science
INT_0001_M3_T07,INT_0001,2024,3,Data Analysis,3,8,9.2,Completed Early,7.3,1,Data Science
INT_0001_M4_T01,INT_0001,2024,4,Presentation,2,5,5.6,Completed On Time,9.2,5,Data Science
INT_0001_M4_T02,INT_0001,2024,4,Testing,2,4,4.6,Completed On Time,6.7,4,Data Science
INT_0001_M4_T03,INT_0001,2024,4,Research,3,10,13.3,Completed On Time,7.5,6,Data Science
INT_0001_M4_T04,INT_0001,2024,4,Presentation,2,5,4.6,Completed Early,8.2,3,Data Science
INT_0001_M4_T05,INT_0001,2024,4,Presentation,2,5,6.1,Completed Early,8.9,4,Data Science
INT_0001_M4_T06,INT_0001,2024,4,Data Analysis,3,8,7.9,Completed On Time,6.9,4,Data Science
INT_0001_M4_T07,INT_0001,2024,4,Data Analysis,3,8,6.3,Completed On Time,6.8,4,Data Science
INT_0001_M4_T08,INT_0001,2024,4,Documentation,1,3,3.6,Completed On Time,5.8,6,Data Science
INT_0001_M5_T01,INT_0001,2024,5,Research,3,10,12.0,Completed Early,7.1,5,Data Science
INT_0001_M5_T02,INT_0001,2024,5,Testing,2,4,4.7,Completed Late,6.1,5,Data Science
INT_0001_M5_T03,INT_0001,2024,5,Presentation,2,5,5.8,Completed On Time,6.0,7,Data Science
INT_0001_M5_T04,INT_0001,2024,5,Documentation,1,3,3.6,Completed Early,5.6,5,Data Science
INT_0001_M5_T05,INT_0001,2024,5,Report Writing,2,6,5.4,Completed On Time,7.5,6,Data Science
INT_0001_M5_T06,INT_0001,2024,5,Testing,2,4,3.7,Completed On Time,7.7,5,Data Science
INT_0001_M5_T07,INT_0001,2024,5,Research,3,10,12.6,Completed On Time,8.7,5,Data Science
INT_0001_M5_T08,INT_0001,2024,5,Presentation,2,5,4.7,Completed Early,5.9,4,Data Science
INT_0001_M5_T09,INT_0001,2024,5,Research,3,10,10.8,Completed On Time,7.1,5,Data Science
INT_0001_M5_T10,INT_0001,2024,5,Research,3,10,12.7,Completed On Time,6.8,6,Data Science
INT_0001_M6_T01,INT_0001,2024,6,Documentation,1,3,3.0,Completed Early,7.8,6,Data Science
INT_0001_M6_T02,INT_0001,2024,6,Report Writing,2,6,5.1,Completed Early,7.1,6,Data Science
INT_0001_M6_T03,INT_0001,2024,6,Documentation,1,3,2.8,Completed On Time,7.1,6,Data Science
INT_0001_M6_T04,INT_0001,2024,6,Testing,2,4,3.5,Completed On Time,7.3,6,Data Science
INT_0001_M6_T05,INT_0001,2024,6,Research,3,10,13.2,Completed On Time,8.0,4,Data Science
INT_0001_M6_T06,INT_0001,2024,6,Code Development,4,12,10.9,Completed On Time,7.5,6,Data Science
INT_0001_M6_T07,INT_0001,2024,6,Documentation,1,3,3.6,Completed Late,10.0,6,Data Science
INT_0001_M6_T08,INT_0001,2024,6,Documentation,1,3,4.0,Completed On Time,7.9,6,Data Science
INT_0002_M1_T01,INT_0002,2024,1,Presentation,2,5,5.6,Completed On Time,6.1,1,Software Engineering
INT_0002_M1_T02,INT_0002,2024,1,Documentation,1,3,3.7,Extended,6.5,2,Software Engineering
INT_0002_M1_T03,INT_0002,2024,1,Code Development,4,12,13.3,Completed On Time,6.5,4,Software Engineering
INT_0002_M1_T04,INT_0002,2024,1,Code Development,4,12,14.7,Completed Late,5.2,2,Software Engineering
INT_0002_M1_T05,INT_0002,2024,1,Code Development,4,12,11.6,Completed Early,8.0,1,Software Engineering
INT_0002_M1_T06,INT_0002,2024,1,Code Development,4,12,12.9,Extended,7.7,3,Software Engineering
INT_0002_M1_T07,INT_0002,2024,1,Presentation,2,5,4.3,Completed Late,6.9,1,Software Engineering
INT_0002_M1_T08,INT_0002,2024,1,Data Analysis,3,8,7.8,Completed On Time,9.0,2,Software Engineering
INT_0002_M2_T01,INT_0002,2024,2,Research,3,10,4.5,Completed On Time,5.9,3,Software Engineering
INT_0002_M2_T02,INT_0002,2024,2,Code Development,4,12,10.2,Completed On Time,8.6,2,Software Engineering
INT_0002_M2_T03,INT_0002,2024,2,Data Analysis,3,8,8.1,Completed Late,7.1,5,Software Engineering
INT_0002_M2_T04,INT_0002,2024,2,Documentation,1,3,2.4,Completed On Time,8.1,3,Software Engineering
INT_0002_M2_T05,INT_0002,2024,2,Data Analysis,3,8,7.2,Completed On Time,7.4,4,Software Engineering
INT_0002_M2_T06,INT_0002,2024,2,Code Development,4,12,11.8,Completed Early,7.0,3,Software Engineering
INT_0002_M2_T07,INT_0002,2024,2,Testing,2,4,4.5,Completed On Time,7.6,5,Software Engineering
INT_0002_M3_T01,INT_0002,2024,3,Documentation,1,3,2.9,Completed On Time,6.9,4,Software Engineering
INT_0002_M3_T02,INT_0002,2024,3,Presentation,2,5,6.3,Extended,6.6,3,Software Engineering
INT_0002_M3_T03,INT_0002,2024,3,Presentation,2,5,4.9,Completed On Time,6.8,5,Software Engineering
INT_0002_M3_T04,INT_0002,2024,3,Documentation,1,3,3.3,Completed Late,6.1,5,Software Engineering
INT_0002_M3_T05,INT_0002,2024,3,Presentation,2,5,4.9,Completed Late,6.6,4,Software Engineering
INT_0002_M3_T06,INT_0002,2024,3,Presentation,2,5,5.3,Completed On Time,7.1,5,Software Engineering
INT_0002_M3_T07,INT_0002,2024,3,Presentation,2,5,6.3,Completed On Time,7.3,4,Software Engineering
INT_0002_M3_T08,INT_0002,2024,3,Code Development,4,12,14.8,Completed On Time,5.7,5,Software Engineering
INT_0002_M4_T01,INT_0002,2024,4,Documentation,1,3,2.8,Completed On Time,7.4,6,Software Engineering
INT_0002_M4_T02,INT_0002,2024,4,Research,3,10,13.0,Completed On Time,7.1,5,Software Engineering
INT_0002_M4_T03,INT_0002,2024,4,Report Writing,2,6,6.2,Completed On Time,7.7,6,Software Engineering
INT_0002_M4_T04,INT_0002,2024,4,Testing,2,4,3.7,Completed Early,7.5,6,Software Engineering
INT_0002_M4_T05,INT_0002,2024,4,Report Writing,2,6,6.0,Completed On Time,6.8,6,Software Engineering
INT_0002_M5_T01,INT_0002,2024,5,Testing,2,4,4.7,Completed Early,5.7,5,Software Engineering
INT_0002_M5_T02,INT_0002,2024,5,Code Development,4,12,16.9,Completed Early,6.4,5,Software Engineering
INT_0002_M5_T03,INT_0002,2024,5,Research,3,10,12.4,Completed On Time,6.1,4,Software Engineering
INT_0002_M5_T04,INT_0002,2024,5,Research,3,10,11.0,Completed On Time,6.6,3,Software Engineering
INT_0002_M5_T05,INT_0002,2024,5,Code Development,4,12,13.3,Completed Late,7.0,6,Software Engineering
INT_0002_M5_T06,INT_0002,2024,5,Research,3,10,12.9,Completed Late,8.6,3,Software Engineering
INT_0002_M5_T07,INT_0002,2024,5,Presentation,2,5,6.4,Completed Late,6.7,6,Software Engineering
INT_0002_M5_T08,INT_0002,2024,5,Data Analysis,3,8,7.5,Completed Late,5.6,4,Software Engineering
INT_0002_M5_T09,INT_0002,2024,5,Documentation,1,3,2.0,Completed On Time,6.0,4,Software Engineering
INT_0002_M5_T10,INT_0002,2024,5,Research,3,10,11.3,Completed Early,6.8,6,Software Engineering
INT_0002_M6_T01,INT_0002,2024,6,Testing,2,4,3.1,Completed On Time,4.2,4,Software Engineering
INT_0002_M6_T02,INT_0002,2024,6,Presentation,2,5,5.5,Completed Late,4.3,4,Software Engineering
INT_0002_M6_T03,INT_0002,2024,6,Research,3,10,8.9,Completed Early,4.6,4,Software Engineering
INT_0002_M6_T04,INT_0002,2024,6,Research,3,10,12.0,Completed On Time,5.5,3,Software Engineering
INT_0002_M6_T05,INT_0002,2024,6,Research,3,10,7.9,Completed On Time,6.1,4,Software Engineering
INT_0002_M6_T06,INT_0002,2024,6,Testing,2,4,3.8,Completed On Time,6.3,4,Software Engineering
INT_0002_M6_T07,INT_0002,2024,6,Testing,2,4,5.3,Completed Early,4.9,6,Software Engineering
INT_0002_M6_T08,INT_0002,2024,6,Research,3,10,14.5,Completed Late,4.5,5,Software Engineering
INT_0002_M6_T09,INT_0002,2024,6,Presentation,2,5,6.1,Completed On Time,6.2,3,Software Engineering
INT_0002_M6_T10,INT_0002,2024,6,Research,3,10,12.4,Completed On Time,5.8,2,Software Engineering
INT_0002_M6_T11,INT_0002,2024,6,Testing,2,4,3.5,Completed Early,2.7,4,Software Engineering
INT_0003_M1_T01,INT_0003,2024,1,Report Writing,2,6,7.4,Completed On Time,6.8,4,Business Analytics
INT_0003_M1_T02,INT_0003,2024,1,Code Development,4,12,12.0,Completed On Time,5.4,5,Business Analytics
INT_0003_M1_T03,INT_0003,2024,1,Report Writing,2,6,7.7,Completed On Time,5.5,6,Business Analytics
INT_0003_M1_T04,INT_0003,2024,1,Research,3,10,9.9,Completed Early,5.7,5,Business Analytics
INT_0003_M2_T01,INT_0003,2024,2,Presentation,2,5,4.9,Completed Early,6.0,2,Business Analytics
INT_0003_M2_T02,INT_0003,2024,2,Report Writing,2,6,4.8,Completed Early,7.6,6,Business Analytics
INT_0003_M2_T03,INT_0003,2024,2,Data Analysis,3,8,8.4,Completed On Time,6.9,5,Business Analytics
INT_0003_M2_T04,INT_0003,2024,2,Testing,2,4,6.9,Completed Early,7.4,4,Business Analytics
INT_0003_M2_T05,INT_0003,2024,2,Data Analysis,3,8,7.3,Completed Late,4.7,5,Business Analytics
INT_0003_M2_T06,INT_0003,2024,2,Code Development,4,12,11.4,Completed Late,4.9,4,Business Analytics
INT_0003_M3_T01,INT_0003,2024,3,Data Analysis,3,8,6.6,Completed On Time,8.0,9,Business Analytics
INT_0003_M3_T02,INT_0003,2024,3,Code Development,4,12,9.8,Completed On Time,7.6,6,Business Analytics
INT_0003_M3_T03,INT_0003,2024,3,Report Writing,2,6,6.0,Completed On Time,6.4,6,Business Analytics
INT_0003_M3_T04,INT_0003,2024,3,Code Development,4,12,13.3,Completed On Time,6.2,7,Business Analytics
INT_0003_M3_T05,INT_0003,2024,3,Testing,2,4,4.4,Completed On Time,6.8,6,Business Analytics
INT_0003_M3_T06,INT_0003,2024,3,Documentation,1,3,3.0,Completed Late,7.8,7,Business Analytics
INT_0003_M3_T07,INT_0003,2024,3,Report Writing,2,6,5.4,Completed Early,7.1,8,Business Analytics
INT_0003_M3_T08,INT_0003,2024,3,Data Analysis,3,8,6.1,Completed Late,7.6,6,Business Analytics
INT_0003_M4_T01,INT_0003,2024,4,Data Analysis,3,8,8.9,Completed On Time,4.0,5,Business Analytics
INT_0003_M4_T02,INT_0003,2024,4,Documentation,1,3,3.9,Completed On Time,4.3,6,Business Analytics
INT_0003_M4_T03,INT_0003,2024,4,Data Analysis,3,8,7.0,Completed On Time,5.4,7,Business Analytics
INT_0003_M4_T04,INT_0003,2024,4,Report Writing,2,6,3.6,Completed Late,4.0,6,Business Analytics
INT_0003_M4_T05,INT_0003,2024,4,Presentation,2,5,5.3,Completed Late,5.2,5,Business Analytics
INT_0003_M4_T06,INT_0003,2024,4,Documentation,1,3,3.4,Extended,4.7,7,Business Analytics
INT_0003_M4_T07,INT_0003,2024,4,Documentation,1,3,3.5,Completed Early,5.2,5,Business Analytics
INT_0003_M4_T08,INT_0003,2024,4,Presentation,2,5,5.0,Completed On Time,4.4,6,Business Analytics
INT_0003_M5_T01,INT_0003,2024,5,Documentation,1,3,4.3,Completed On Time,5.8,1,Business Analytics
INT_0003_M5_T02,INT_0003,2024,5,Research,3,10,12.7,Completed Early,3.3,2,Business Analytics
INT_0003_M5_T03,INT_0003,2024,5,Report Writing,2,6,7.5,Completed On Time,4.0,3,Business Analytics
INT_0003_M5_T04,INT_0003,2024,5,Documentation,1,3,3.5,Completed On Time,5.1,2,Business Analytics
INT_0003_M5_T05,INT_0003,2024,5,Code Development,4,12,18.6,Completed On Time,5.7,2,Business Analytics
INT_0003_M5_T06,INT_0003,2024,5,Testing,2,4,4.0,Completed On Time,4.6,2,Business Analytics
INT_0003_M5_T07,INT_0003,2024,5,Testing,2,4,3.7,Completed Early,5.6,1,Business Analytics
INT_0003_M5_T08,INT_0003,2024,5,Documentation,1,3,3.6,Completed Late,5.8,2,Business Analytics
INT_0003_M5_T09,INT_0003,2024,5,Documentation,1,3,3.0,Completed On Time,5.2,1,Business Analytics
INT_0003_M5_T10,INT_0003,2024,5,Research,3,10,10.1,Completed Late,5.9,2,Business Analytics
