user_id,user_segment,traffic_source,primary_device,primary_browser,first_visit_date,prob_apply,avg_sessions,avg_pages_per_session
2155576d,Career_Starter,Direct,Tablet,Firefox,2024-02-01,0.6,3,8
a804d251,Experience_Builder,Social Media,Tablet,Chrome,2024-03-27,0.7,5,10
506e67e8,Career_Starter,Referral,Desktop,Chrome,2024-01-12,0.6,3,8
de482ebd,Experience_Builder,Email Campaign,Tablet,Other,2024-01-04,0.7,5,10
a3111f87,Experience_Builder,Referral,Desktop,Edge,2024-03-16,0.7,5,10
46119008,Skill_Explorer,Direct,Desktop,Edge,2024-02-13,0.3,2,6
972c58d6,Skill_Explorer,Social Media,Desktop,Firefox,2024-01-14,0.3,2,6
e7a65f18,Career_Starter,Referral,Desktop,Firefox,2024-02-14,0.6,3,8
08ae80da,Skill_Explorer,Direct,Tablet,Edge,2024-03-09,0.3,2,6
5e2a24a8,Career_Starter,Referral,Desktop,Other,2024-02-07,0.6,3,8
80e4bbab,Skill_Explorer,Email Campaign,Tablet,Chrome,2024-01-06,0.3,2,6
35cf4895,Experience_Builder,University Portal,Desktop,Safari,2024-01-13,0.7,5,10
62bf3d54,Urgent_Seeker,University Portal,Mobile,Firefox,2024-01-21,0.8,7,12
9bc94789,Skill_Explorer,Career Fair,Desktop,Firefox,2024-03-30,0.3,2,6
385a062c,Career_Starter,Social Media,Tablet,Safari,2024-01-21,0.6,3,8
9e85198f,Urgent_Seeker,Referral,Mobile,Other,2024-01-29,0.8,7,12
b61cba7d,Skill_Explorer,Direct,Desktop,Chrome,2024-02-10,0.3,2,6
e3fac86a,Urgent_Seeker,University Portal,Desktop,Safari,2024-03-13,0.8,7,12
632a5dea,Skill_Explorer,Email Campaign,Tablet,Edge,2024-02-20,0.3,2,6
b73e0d07,Urgent_Seeker,Social Media,Mobile,Safari,2024-02-01,0.8,7,12
12645361,Skill_Explorer,Referral,Tablet,Edge,2024-02-16,0.3,2,6
5c4e9edf,Experience_Builder,Social Media,Tablet,Edge,2024-01-12,0.7,5,10
435a42e7,Career_Starter,Google Search,Desktop,Safari,2024-03-28,0.6,3,8
e58fafab,Urgent_Seeker,Google Search,Mobile,Edge,2024-03-17,0.8,7,12
913e9823,Urgent_Seeker,University Portal,Tablet,Chrome,2024-03-28,0.8,7,12
7db63d19,Career_Starter,University Portal,Tablet,Firefox,2024-01-15,0.6,3,8
0aeb74f6,Skill_Explorer,Referral,Desktop,Edge,2024-01-01,0.3,2,6
8df628a2,Skill_Explorer,Social Media,Tablet,Chrome,2024-03-21,0.3,2,6
28a9623c,Skill_Explorer,Email Campaign,Desktop,Firefox,2024-01-21,0.3,2,6
8c3385a3,Career_Starter,Career Fair,Mobile,Chrome,2024-01-15,0.6,3,8
24637190,Skill_Explorer,University Portal,Desktop,Chrome,2024-01-31,0.3,2,6
968cb5b2,Career_Starter,Google Search,Tablet,Edge,2024-01-09,0.6,3,8
332d2f8d,Experience_Builder,Social Media,Tablet,Edge,2024-03-11,0.7,5,10
e37fed85,Experience_Builder,University Portal,Tablet,Other,2024-02-24,0.7,5,10
2c385ccf,Experience_Builder,Email Campaign,Tablet,Firefox,2024-02-21,0.7,5,10
d472bc41,Skill_Explorer,Blog,Tablet,Edge,2024-01-16,0.3,2,6
018b69b8,Experience_Builder,Email Campaign,Desktop,Firefox,2024-01-03,0.7,5,10
0eae12c9,Experience_Builder,Email Campaign,Desktop,Chrome,2024-03-21,0.7,5,10
5a62b337,Career_Starter,Email Campaign,Desktop,Chrome,2024-02-12,0.6,3,8
40336952,Career_Starter,Email Campaign,Mobile,Edge,2024-01-28,0.6,3,8
0677b618,Experience_Builder,Blog,Desktop,Edge,2024-02-22,0.7,5,10
d0311578,Experience_Builder,Google Search,Desktop,Edge,2024-02-15,0.7,5,10
93cd19e6,Urgent_Seeker,Referral,Mobile,Chrome,2024-03-27,0.8,7,12
00c0fda9,Career_Starter,Direct,Mobile,Firefox,2024-01-14,0.6,3,8
