user_id,session_id,funnel_stage,pages_viewed,application_submitted
2155576d,2155576d_S01,Application,5,False
2155576d,2155576d_S02,Application,7,False
2155576d,2155576d_S03,Application,5,False
2155576d,2155576d_S04,Application,9,False
a804d251,a804d251_S01,Application,13,True
a804d251,a804d251_S02,Application,12,True
a804d251,a804d251_S03,Application,13,True
a804d251,a804d251_S04,Application,9,True
a804d251,a804d251_S05,Application,7,True
506e67e8,506e67e8_S01,Application,11,False
506e67e8,506e67e8_S02,Application,8,False
506e67e8,506e67e8_S03,Application,7,True
de482ebd,de482ebd_S01,Awareness,9,False
de482ebd,de482ebd_S02,Awareness,9,False
de482ebd,de482ebd_S03,Application,12,True
de482ebd,de482ebd_S04,Application,15,True
de482ebd,de482ebd_S05,Application,9,True
de482ebd,de482ebd_S06,Application,8,True
de482ebd,de482ebd_S07,Application,12,True
de482ebd,de482ebd_S08,Application,9,True
a3111f87,a3111f87_S01,Application,7,False
a3111f87,a3111f87_S02,Application,8,False
a3111f87,a3111f87_S03,Application,14,True
a3111f87,a3111f87_S04,Application,5,True
a3111f87,a3111f87_S05,Application,6,True
a3111f87,a3111f87_S06,Application,9,True
a3111f87,a3111f87_S07,Application,3,True
a3111f87,a3111f87_S08,Application,18,True
a3111f87,a3111f87_S09,Application,10,True
a3111f87,a3111f87_S10,Application,3,True
46119008,46119008_S01,Application,7,False
46119008,46119008_S02,Application,7,False
972c58d6,972c58d6_S01,Evaluation,5,False
e7a65f18,e7a65f18_S01,Evaluation,9,False
e7a65f18,e7a65f18_S02,Application,4,False
e7a65f18,e7a65f18_S03,Application,8,True
e7a65f18,e7a65f18_S04,Application,8,True
e7a65f18,e7a65f18_S05,Application,10,True
e7a65f18,e7a65f18_S06,Application,4,True
08ae80da,08ae80da_S01,Awareness,9,True
5e2a24a8,5e2a24a8_S01,Consideration,4,False
5e2a24a8,5e2a24a8_S02,Application,11,True
80e4bbab,80e4bbab_S01,Awareness,7,True
80e4bbab,80e4bbab_S02,Application,7,True
80e4bbab,80e4bbab_S03,Application,6,True
35cf4895,35cf4895_S01,Application,6,False
35cf4895,35cf4895_S02,Application,12,True
35cf4895,35cf4895_S03,Application,13,True
35cf4895,35cf4895_S04,Application,15,True
35cf4895,35cf4895_S05,Application,11,True
62bf3d54,62bf3d54_S01,Application,9,True
62bf3d54,62bf3d54_S02,Application,11,True
62bf3d54,62bf3d54_S03,Application,11,True
62bf3d54,62bf3d54_S04,Application,9,True
9bc94789,9bc94789_S01,Application,3,False
9bc94789,9bc94789_S02,Application,6,True
9bc94789,9bc94789_S03,Application,5,True
385a062c,385a062c_S01,Application,8,True
385a062c,385a062c_S02,Application,9,True
385a062c,385a062c_S03,Application,5,True
385a062c,385a062c_S04,Application,3,True
9e85198f,9e85198f_S01,Application,7,True
9e85198f,9e85198f_S02,Application,12,True
9e85198f,9e85198f_S03,Application,15,True
9e85198f,9e85198f_S04,Application,11,True
9e85198f,9e85198f_S05,Application,13,True
9e85198f,9e85198f_S06,Application,7,True
9e85198f,9e85198f_S07,Application,9,True
9e85198f,9e85198f_S08,Application,18,True
9e85198f,9e85198f_S09,Application,11,True
9e85198f,9e85198f_S10,Application,9,True
9e85198f,9e85198f_S11,Application,13,True
9e85198f,9e85198f_S12,Application,11,True
9e85198f,9e85198f_S13,Application,7,True
9e85198f,9e85198f_S14,Application,6,True
b61cba7d,b61cba7d_S01,Consideration,4,False
e3fac86a,e3fac86a_S01,Awareness,6,True
e3fac86a,e3fac86a_S02,Evaluation,14,True
e3fac86a,e3fac86a_S03,Application,16,True
e3fac86a,e3fac86a_S04,Application,22,True
e3fac86a,e3fac86a_S05,Application,13,True
e3fac86a,e3fac86a_S06,Application,3,True
e3fac86a,e3fac86a_S07,Application,3,True
e3fac86a,e3fac86a_S08,Application,11,True
e3fac86a,e3fac86a_S09,Application,19,True
e3fac86a,e3fac86a_S10,Application,17,True
632a5dea,632a5dea_S01,Awareness,8,False
b73e0d07,b73e0d07_S01,Application,10,True
b73e0d07,b73e0d07_S02,Application,11,True
b73e0d07,b73e0d07_S03,Application,15,True
b73e0d07,b73e0d07_S04,Application,14,True
12645361,12645361_S01,Application,7,True
12645361,12645361_S02,Application,4,True
12645361,12645361_S03,Application,10,True
5c4e9edf,5c4e9edf_S01,Awareness,10,True
5c4e9edf,5c4e9edf_S02,Awareness,10,True
5c4e9edf,5c4e9edf_S03,Application,13,True
5c4e9edf,5c4e9edf_S04,Application,9,True
5c4e9edf,5c4e9edf_S05,Application,9,True
5c4e9edf,5c4e9edf_S06,Application,12,True
5c4e9edf,5c4e9edf_S07,Application,13,True
435a42e7,435a42e7_S01,Application,11,False
e58fafab,e58fafab_S01,Awareness,14,True
e58fafab,e58fafab_S02,Application,13,True
e58fafab,e58fafab_S03,Application,18,True
e58fafab,e58fafab_S04,Application,8,True
e58fafab,e58fafab_S05,Application,13,True
913e9823,913e9823_S01,Application,15,True
913e9823,913e9823_S02,Application,14,True
913e9823,913e9823_S03,Application,12,True
913e9823,913e9823_S04,Application,13,True
913e9823,913e9823_S05,Application,10,True
7db63d19,7db63d19_S01,Awareness,6,True
7db63d19,7db63d19_S02,Evaluation,4,True
7db63d19,7db63d19_S03,Evaluation,6,True
