session_id,user_id,session_date,session_timestamp,entry_page,exit_page,pages_viewed,session_duration_seconds,avg_time_per_page,is_bounce,application_submitted
2155576d_S01,2155576d,2024-02-02,2024-02-02 00:00:00,homepage,application_form,5,366,73,False,False
2155576d_S02,2155576d,2024-02-08,2024-02-08 00:00:00,internship_listings,internship_details,7,987,141,False,False
2155576d_S03,2155576d,2024-02-16,2024-02-16 00:00:00,internship_details,profile_creation,5,1993,398,False,False
2155576d_S04,2155576d,2024-02-19,2024-02-19 00:00:00,company_profiles,internship_listings,9,668,74,False,False
a804d251_S01,a804d251,2024-03-28,2024-03-28 00:00:00,resume_upload,application_form,13,2657,204,False,False
a804d251_S02,a804d251,2024-03-29,2024-03-29 00:00:00,faq_support,dashboard,12,2258,188,False,False
a804d251_S03,a804d251,2024-04-02,2024-04-02 00:00:00,faq_support,internship_listings,13,1485,114,False,False
a804d251_S04,a804d251,2024-04-07,2024-04-07 00:00:00,faq_support,dashboard,9,1689,187,False,False
a804d251_S05,a804d251,2024-04-13,2024-04-13 00:00:00,homepage,internship_details,7,546,78,False,True
506e67e8_S01,506e67e8,2024-01-12,2024-01-12 00:00:00,dashboard,dashboard,11,2097,190,False,False
506e67e8_S02,506e67e8,2024-01-19,2024-01-19 00:00:00,dashboard,profile_creation,8,1977,247,False,False
506e67e8_S03,506e67e8,2024-01-25,2024-01-25 00:00:00,search_results,profile_creation,7,1687,241,False,True
de482ebd_S01,de482ebd,2024-01-07,2024-01-07 00:00:00,dashboard,resume_upload,9,2242,249,False,False
de482ebd_S02,de482ebd,2024-01-15,2024-01-15 00:00:00,resume_upload,resume_upload,9,2376,264,False,False
de482ebd_S03,de482ebd,2024-01-17,2024-01-17 00:00:00,homepage,profile_creation,12,3476,289,False,False
de482ebd_S04,de482ebd,2024-01-18,2024-01-18 00:00:00,company_profiles,profile_creation,15,3406,227,False,False
de482ebd_S05,de482ebd,2024-01-23,2024-01-23 00:00:00,profile_creation,payment_page,9,3061,340,False,False
de482ebd_S06,de482ebd,2024-01-28,2024-01-28 00:00:00,internship_listings,internship_details,8,1352,169,False,False
de482ebd_S07,de482ebd,2024-02-05,2024-02-05 00:00:00,homepage,application_form,12,1520,126,False,False
